Value,area,type,country,percent,id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
95058,4693.150391,mountain_lake,IRAN,-2.726782267,2,5895.945798,5890.275828,5863.648744,5868.648744,5867.648744,5869.648744,5868.75,5871.648744,5895.526114,5896.190678,5878.906625,5586.415326,5446.414883,5499.915746,5439.552086,5314.500097,5120.043144,5179.901642,4620.588307,4045.366251,3829.396062,3479.481203,2896.029488,2480.738632,1736.905231,1232.831559,2686.952129,2363.568233,2375.147662,4059.021769,4000.687225
101449,3587.352783,mountain_lake,TURKEY,0.76398641,2,4447.114788,4448.114788,4446.114788,4447.85,4447.56,4447.119,4450.114788,4451.114788,4456.782152,4458.35231,4456.609658,4451.144525,4449.130041,4454.718385,4455.484597,4456.213846,4455.758739,4456.183814,4452.284987,4452.731624,4453.885177,4453.111265,3288.417145,4453.439311,4451.425598,4449.374921,4450.761034,4450.775665,4448.612559,4448.188255,4447.418192
64981,645.5803223,artificial,JORDAN,-0.166070006,1,394.7594496,394.863408,394.863408,394.863408,394.863408,394.863408,394.863408,394.863408,393.9662852,393.4988573,393.8731076,392.7927099,391.4266191,392.0865626,391.56138,389.3335892,388.5658369,386.4812777,384.5568915,383.0075258,382.2898275,380.6372734,378.3270859,377.1288686,376.0777333,374.5322179,372.5000229,371.0392144,369.8225156,368.2461977,367.3898882
57055,165.007431,artificial,IRAQ,-1.208794971,1,,,,173.4365565,173.4365565,173.4365565,173.4365565,173.4365565,19.73978213,19.73978213,19.73978213,19.73978213,19.73978213,0.100878188,100.4662041,172.9152242,170.7166958,167.7904583,129.4051528,10.35811069,27.28100419,27.586719,34.40100206,104.6191511,160.2130433,0.39735225,47.48282381,54.237042,0.083936813,77.60150831,161.7570186
60082,114.7499313,artificial,JORDAN,0.335037922,1,109.0585614,111.1569818,111.1569818,111.1569818,111.1569818,111.1569818,111.1569818,111.1569818,130.6480337,131.0515464,129.3250663,123.6504758,115.9498508,112.3297869,113.5318545,112.0194518,125.0234972,129.4128534,127.6625014,126.9363324,127.9066112,127.7957222,125.5933434,125.4839946,128.6050579,127.6933039,124.5391279,123.5619186,124.3828052,126.2332654,126.1554891
67093,112.0952988,artificial,IRAQ,2.468905796,1,,11.56017825,11.56017825,13.70557238,13.70557238,13.70557238,13.70557238,13.70557238,13.49688544,4.975373813,0.048513938,0.084706875,0.077776313,0.964888313,0.134760938,11.17283681,11.04192619,4.93764075,5.977225125,0.123980063,0.2649015,0.351918563,3.539977313,14.73206569,15.40125,70.63860319,74.94402263,77.25960056,77.07786581,81.53267738,89.83395113
63904,88.19506073,artificial,IRAQ,-0.235222307,1,97.81949925,97.90651631,96.34482956,97.80101775,100.0780926,100.945953,100.945953,100.945953,100.305261,100.7272553,71.91536681,38.09884219,31.58642363,100.564002,100.5686224,95.92822575,97.88726475,95.71722863,98.223012,91.39255763,91.58969363,98.67041831,86.73984,97.14646463,95.20128675,82.56841144,95.14507219,95.39303231,36.5748885,100.2744585,99.31188038
66199,66.54150391,artificial,IRAQ,-0.00611698,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.1047285,0.177884438,0.083936813,0.050824125,0.10164825,0.128600438
77419,38.15216064,artificial,IRAN,0.214438248,1,,,0.571386375,0.247960125,0.247960125,0.714618,0.012321,0.012321,0.007700625,0.002310188,,0.060834938,0.019251563,0.197136,0.123980063,0.164023313,0.3141855,0.435085313,0.660713625,0.808565625,1.008781875,1.183586063,1.262132438,1.30910625,1.366860938,1.877412375,2.016023625,2.013713438,2.065307625,2.183127188,2.34099
91769,35.59734344,artificial,IRAN,-2.812766593,1,,43.81424606,43.64406225,43.79191425,44.28475425,40.91573081,44.28475425,44.28475425,44.30246569,44.60664038,43.84735875,44.39949356,44.5835385,44.59662956,39.30321994,38.59784269,42.18479381,44.22699956,43.912044,42.25563956,36.58874963,26.84899913,22.96942425,5.321901938,38.05263844,17.58668738,8.029441688,21.17286844,23.70329381,19.36168144,31.29302981
64405,33.62361526,artificial,IRAQ,-1.390681305,1,36.10207013,35.102529,33.49925888,35.29735481,36.975321,38.18508919,38.18508919,38.18508919,38.02491619,37.9671615,9.926105625,31.38004688,36.88445363,37.13010356,37.628334,34.91001338,37.17091688,33.41917238,37.04231644,18.83649881,33.24359813,35.05170488,31.06432125,38.16121725,35.0594055,1.517023125,28.93740863,6.479305875,0.102418313,37.80852863,37.31876888
52407,17.70564461,artificial,IRAN,0.002017174,1,0.005390438,0.005390438,0.003850313,0.0061605,0.005390438,0.0061605,0.005390438,0.005390438,0.005390438,0.005390438,,,0.003850313,,0.003850313,0.004620375,0.005390438,0.005390438,,,,,,,,,,,,0.00924075,0.025412063
95615,17.14334488,artificial,TURKEY,0.592263133,1,,,,,,,,,10.69077769,10.69077769,4.114443938,,0.433545188,,0.038503125,,,,0.137841188,,,,,,0.051594188,7.837696125,7.36487775,,,6.524739563,13.65243806
61878,14.7713089,artificial,IRAQ,0.161646905,1,2.0884095,0.396582188,2.15925525,2.053756688,2.053756688,2.053756688,2.053756688,2.053756688,2.107661063,,,,,0.073155938,1.739571188,1.440786938,1.58632875,1.707998625,0.364239563,0.057754688,0.008470688,0.140151375,0.125520188,0.001540125,0.143231625,,1.987531313,0.4004325,0.029262375,2.783005875,2.386423688
71793,14.07300854,artificial,IRAQ,-0.031592646,1,,0.308025,0.308025,0.308025,0.308025,0.308025,0.308025,0.308025,0.307254938,0.308025,0.201756375,0.285693188,0.30494475,0.127830375,,,,,,,0.038503125,,0.02772225,,,0.013091063,0.265671563,0.193285688,,0.344988,0.257200875
101689,12.91534615,artificial,TURKEY,-3.833801424,1,16.73730844,16.73730844,16.73730844,16.73730844,16.73730844,16.73730844,16.73730844,16.73730844,16.7380785,16.73268806,16.52015081,0.076236188,16.73730844,13.59468338,4.078251,4.745125125,1.85739075,0.002310188,3.478372313,12.67753894,15.89331994,15.46978556,0.150162188,1.815807375,6.646409438,6.383048063,1.374561563,0.147852,3.529196438,6.010337813,
65013,12.90768433,artificial,IRAQ,0.238864451,1,0.012321,0.066995438,0.044663625,0.202526438,0.086247,0.020021625,0.020021625,0.020021625,0.003850313,0.001540125,,,,,0.019251563,0.051594188,0.1786545,0.150162188,,,,,,0.060834938,0.000770063,,0.81626625,0.599878688,0.020791688,2.46111975,1.01956275
48743,11.16022015,nature water,IRAN,-3.002933546,1,10.1833065,12.50427488,12.60207281,12.604383,12.604383,12.604383,12.604383,12.604383,12.604383,12.56202956,10.805517,2.826129375,8.959677188,11.1197025,12.58898175,12.604383,12.604383,12.51736594,1.62945225,1.579398188,2.691368438,0.47127825,1.858930875,3.461430938,0.133220813,0.795474563,4.162957875,9.0867375,3.52688625,7.830765563,10.40431444
157785,10.66518211,artificial,TURKEY,0.059089414,1,,12.02298581,12.02298581,12.02298581,12.02298581,12.02298581,12.02298581,12.02298581,11.90285606,11.99372344,11.97293175,11.9082465,11.95522031,11.93596875,12.07535006,11.865123,11.91594713,12.07226981,11.91209681,11.89361531,11.81814919,10.64842425,11.38999444,11.71881113,11.92287769,11.62255331,11.66567681,12.2532345,12.37413431,12.54123788,12.64442625
96011,10.58619976,artificial,TURKEY,0.902275298,1,,,,,,,,,2.780695688,2.36255175,3.05868825,2.628223313,3.181128188,2.816118563,3.312808875,0.040813313,2.809188,2.983992188,2.406445313,3.155716125,3.697070063,3.679358625,3.678588563,3.632384813,3.707080875,4.270766625,3.918078,3.877264688,4.324671,4.470212813,4.479453563
65983,9.777489662,artificial,IRAQ,-0.013378599,1,0.087017063,0.100878188,0.100878188,0.100878188,0.100878188,0.100878188,0.100878188,0.100878188,0.100878188,0.049284,,,,,0.062375063,0.100108125,0.010010813,0.094717688,,,,0.011550938,0.066225375,0.099338063,0.100878188,,,,,,0.0308025
69008,8.236166954,artificial,IRAQ,-0.728601859,1,2.243962125,2.270914313,2.277074813,2.27630475,2.27630475,2.27630475,2.27630475,2.27630475,2.206999125,1.978290563,,0.024642,0.059294813,2.217009938,2.230101,2.271684375,1.72185975,2.01756375,0.649162688,,,0.006930563,,0.950257125,1.899744188,0.016941375,1.75882275,0.92099475,,0.060834938,0.18173475
162442,7.482960701,artificial,AZERBAIJAN,-3.17354313,1,,10.28880506,10.16713519,10.28880506,10.28880506,10.28880506,10.28880506,10.28880506,6.922861875,9.538764188,5.758527375,10.27648406,9.615000375,10.28880506,10.28880506,7.114607438,6.383048063,9.98309025,10.25800256,8.560784813,10.28880506,10.28880506,10.28880506,9.253071,0.0184815,0.345758063,4.591882688,0.233328938,8.949666375,0.244879875,5.59681425
159620,7.440832615,artificial,AZERBAIJAN,-4.412503708,1,3.03404625,9.69354675,9.531063563,9.566486438,9.566486438,9.566486438,9.566486438,9.566486438,9.569566688,9.507191625,9.648883125,9.522592875,8.971228125,9.719728875,9.720498938,9.643492688,9.578037375,8.362108688,3.931939125,3.9242385,7.53121125,1.325277563,2.502703125,3.596191875,0.005390438,0.3265065,0.37887075,,0.459727313,,
81352,7.228148937,artificial,TURKEY,-0.557372057,1,7.082264813,7.082264813,7.082264813,7.082264813,7.082264813,7.082264813,7.082264813,7.082264813,6.093504563,8.4214035,8.60313825,8.559244688,8.491479188,8.727888375,8.784873,8.684764875,8.306664188,7.905461625,8.069484938,8.1873045,7.291721813,8.194235063,6.872807813,7.207014938,7.770700688,7.314053625,7.294032,6.934412813,7.133088938,6.740357063,6.854326313
82805,6.428870201,artificial,TURKEY,1.676873273,1,,,,,,,,,0.013091063,,0.002310188,,5.0331285,5.05469025,2.123832375,1.51856325,1.3121865,0.603729,0.016941375,3.453730313,2.788396313,4.984614563,4.286167875,5.139397125,5.140167188,4.031277188,1.82042775,1.24134075,,3.5915715,3.663187313
155170,5.641792297,artificial,TURKEY,1.180251713,1,2.629763438,2.629763438,2.629763438,2.629763438,2.629763438,5.844004313,5.844004313,5.844004313,5.844004313,6.212094188,6.192072563,6.016498313,6.075023063,6.197463,6.298341188,6.363026438,6.426171563,6.487776563,6.389978625,6.4746855,6.445423125,6.359176125,6.4130805,6.468525,6.457744125,6.500097563,6.546301313,6.55785225,6.55169175,6.604826063,6.598665563
97157,5.596528053,mountain_lake,TURKEY,-0.302698636,1,,,,,,,,,4.39551675,4.495624875,4.7251035,4.115214,4.853703938,4.785168375,4.516416563,4.501785375,0.0554445,0.002310188,4.350083063,4.632696,0.364239563,4.964592938,0.643002188,0.025412063,0.1293705,5.742356063,5.539059563,5.8709565,1.014942375,5.539829625,5.609905313
12125,0.037503976,glacier_lake,TURKEY,1.918990596,3,0.051594188,0.051594188,0.042353438,0.042353438,0.042353438,0.007700625,0.042353438,0.042353438,0.053904375,0.054674438,0.056214563,0.0554445,0.054674438,0.056214563,0.056214563,0.051594188,0.056214563,0.053134313,0.050054063,0.056214563,0.0554445,0.056214563,0.056214563,0.056214563,0.056214563,0.056214563,0.062375063,0.062375063,0.062375063,0.062375063,0.063145125
84322,5.031571865,artificial,TURKEY,-0.094867699,1,0.066995438,0.066995438,0.066995438,0.066995438,0.066995438,0.066995438,0.066995438,0.066995438,0.003850313,0.378100688,0.377330625,0.056984625,,0.36963,0.003850313,,,0.041583375,,0.00308025,,0.3757905,0.003850313,0.003850313,0.367319813,0.066225375,0.010010813,0.090097313,0.006930563,0.026952188,0.031572563
91021,4.759596825,artificial,TURKEY,0.466214693,1,5.261837063,5.261837063,5.261837063,5.261837063,5.261837063,5.071631625,5.071631625,5.071631625,4.964592938,5.967984375,5.70770325,4.2569055,6.378427688,6.464674688,6.464674688,6.464674688,6.456974063,6.402299625,5.958743625,6.34839525,6.443883,6.45928425,6.443883,6.438492563,6.394599,6.415390688,6.27446925,6.011107875,5.488235438,5.721564375,4.8975975
78221,2149.741455,mountain_lake,IRAQ,-0.640584087,2,2420.653736,2411.991303,2425.321855,2425.8,2426.321855,2425.197875,2423.197875,2420.197875,2417.106058,2227.440434,1996.277682,1921.357532,1984.115315,2233.820402,2409.202906,2285.121196,2299.852491,2308.71206,2070.070462,1975.003936,2000.502245,1986.467086,1858.853099,2035.737225,1976.03659,1948.795629,1967.281749,1941.105785,1915.720674,2104.437581,2398.290351
13240,0.004919894,mountain_lake,IRAN,-2.901548246,4,0.008470688,0.00924075,0.008470688,0.00924075,0.00924075,0.00924075,0.00924075,0.00924075,0.00924075,0.008470688,0.006930563,0.006930563,0.006930563,0.006930563,0.006930563,0.008470688,0.004620375,0.007700625,0.002310188,0.007700625,,,,,,0.006930563,,,,,
